0,1
هذه خمسة و ثلاثون دولاراً .,هذه خمسة و ثلاثون دولاراً .
لازم اسوي تأكيد؟,هل يجب على أن أقوم بإعادة تأكيد للحجز .
"أريد النموذج الذي وقعه المدير , من فضلك .","أريد النموذج الذي وقعه المدير , من فضلك ."
الباص لبوسطن يمشي تسع ونص؟,هل تغادر الحافلة إلى بوسطن في الساعة التاسعة وثلاثين دقيقة ؟
مرة بعيد. احسن تأخذ تاكسي.,إنه بعيد جداً . يحسن بك أن تأخذ سيارة أجرة .
آسف. الرقم غلط.,أنا آسف . فقد طلبت الرقم الخطأ .
عموماً فإن (أ) يعني ممتاز ، و(ب) يعني جيد ، و(ج) يعني عادي ، و(د) يعني ضعيف ، و(هـ) يعني فشل ، و(و) يعني ناقص . وتضيف بعض المدارس علامة الناقص والزائد إلى هذه الحروف .,عموماً فإن (أ) يعني ممتاز ، و(ب) يعني جيد ، و(ج) يعني عادي ، و(د) يعني ضعيف ، و(هـ) يعني فشل ، و(و) يعني ناقص . وتضيف بعض المدارس علامة الناقص والزائد إلى هذه الحروف .
مصاب بالصداع .,مصاب بالصداع .
ابغي اروح.,أريد الذهاب .
لا يسعني أداء ذلك .,لا يسعني أداء ذلك .
شنو اسم المحطة اللي انزل فيها؟,ما اسم المحطة التي سأنزل عندنا ؟
اكثر من شدة في اليوم.,أكثر من علبة سجائر في اليوم .
في تفتيش شناط فردي عند الجمارك؟,هل ستفحص الحقائب كل على حدة في الجمرك ؟
أنه شيء رائع منك أن تقول ذلك .,أنه شيء رائع منك أن تقول ذلك .
بغيت شنطة حق الكاميرا.,ارغب في الحصول على غلاف للكاميرا ؟
رحلة بحرية حق التماسيح؟ يونس ذي؟,رحلة تماسيح ؟ هل هذه مزحة ؟
جميل .,جميل .
لا، للحين. بس ودي اروح هناك ادناة يوم.,كلاً ، ليس بعد . لكنني أود الذهاب هناك ذات يوم .
أخشى أنك أتيت إلى المائدة الخطأ .,أخشى أنك أتيت إلى المائدة الخطأ .
أنا عندي حساسية ضد المحار .,أنا عندي حساسية ضد المحار .
لا تأمن حق هالرجال.,لا يوثق في هذا الرجل .
أي بلد يتم هذا في؟,في أي الدول صنعت هذه .
شنوع بطاقة الإئتمان التي تقبلها؟,أي بطاقات ائتمانية تقبلون ؟
ذلك ليس ما قُلته من قبل .,ذلك ليس ما قُلته من قبل .
هذا تذكار سآخذه معي إلى اليابان .,هذا تذكار سآخذه معي إلى اليابان .
ممكن تعطينا صحن، لو سمحت؟,هل يمكننا تناول طبق من فضلك ؟
هل يوجد هنا حمام للسباحة ؟,هل يوجد هنا حمام للسباحة ؟
تحدث وسر .,تحدث وسر .
تقدر تاخذ هذي من بوابة المغادرة.,بوسعك أخذها عند بوابة المغادرة .
ارغب في هدية تذكارية لابني .,ارغب في هدية تذكارية لابني .
باللهي حول الخمسين الف ين الى دولار.,من فضلك غير خمسين آلاف ين إلى دولارات أمريكية .
ممكن احصل كرسي على الرحلة الجاية، لو سمحت؟,هل يمكنني حجز مقعد على الرحلة التالية ، من فضلك .
صباح الخير. معاك الاستقبال. كيف اقدر اساعدك؟,صباح الخير . هذا مكتب الاستقبال . هل لي أن أساعدك ؟
ابغى شامبو.,أريد بعض الشامبو .
هل يسعني التوقف بالطريق ؟,هل يسعني التوقف بالطريق ؟
ممكن تقترح محل زين حق اشتري شناط جلد؟,هل يمكنك أن تزكي بمحل جيد لشراء حقائب جلدية ؟
اوكي. بس سلم بطاقة التصريح هذي حق الموظف عند الطلعة.,حسنا . من فضلك أعط بطاقة الإقرار الجمركي هذه إلى الموظف عند بوابة الخروج .
الطريق إلى رصيف فيشرمان من فضلك .,الطريق إلى رصيف فيشرمان من فضلك .
يمكننا أن نرسله لك إلى مكتب البريد .,يمكننا أن نرسله لك إلى مكتب البريد .
هل لديك مانع أن ألمس ذلك ؟,هل لديك مانع أن ألمس ذلك ؟
ابغي اسجل في جولة حق اشوف الشلال.,أود الاشتراك في رحلة لمشاهدة المسقط المائي ؟
ممكن تساعدني في شيل هالشنطة؟,هل من الممكن أن تساعدني في حمل هذه الحقيبة ؟
ابغا يكون شعري مجموعة مثل ما كان.,أود تصفيف شعري بالطريقة التي كان عليها من قبل .
هل قال إن المحطة القادمة هي شارع ثلاثة و عشرين ؟,هل قال إن المحطة القادمة هي شارع ثلاثة و عشرين ؟
بالنسبة حق مواد السوق الحرة، انت لازم تمر من جهاز التفتيش الأخضر.,في حالة السلع المعفاة من الرسوم ، أعبر عبر طاولة التفتيش ذات الضوء الأخضر .
طلبت اثنين كولا قبل ربع ساعة، وينهم؟,أنا طلبت اثنين من الكوكا منذ خمسين دقيقة . كيف تأتي ؟
على طاري اللمس، في واحد امريكي حط يده على ظهر حرمة بطريقة عفوية.,"بمناسبة الحديث عن اللمس , إن الرجل الأمريكي يضع يده خلف ظهر السيدة بشكل طبيعي ."
مافي فوط صغيرة واجد.,لا يوجد ما يكفي من قماش الحمام .
ممكن تعطيني مقاس اكبر بواحد؟,هل يمكن من فضلك تبديله بواحد آخر أكبر في المقاس برقم ؟
حط شناطك هني، بتسجل شنطة وحدة بس؟,ضع حقائبك هنا ، الفحص لحقيبة واحدة فقط .
ما اعتقد هذي السكين نظيفة. تقدر تجيب لي حدة ثانية؟,لا أعتقد أن هذه السكينة نظيفة . أيمكنك أن تُحضر لي واحدة أخرى ؟
ممكن احط رسالة داخل؟,هل لي أن أرفق خطاباً فيها ؟
هل ينبغي أن ألبس رابطة عنق ؟,هل ينبغي أن ألبس رابطة عنق ؟
هل يمكنني شراء تذكرة عند البوابة ؟,هل يمكنني شراء تذكرة عند البوابة ؟
ابغا مقعد الممر، من فضلك.,أريد مقعداً يطل على الممر ، من فضلك .
الساعة خمس وخمس.,في رقم خمسة صفر خمسة .
أي هم الزقاير؟,أي منها هي السجائر ؟
ابغا هذا الشكل في وضع خمسة اماكن.,أريد هذا الطراز لخمسة أماكن مرصعة .
فيني حساسية من المضادات الحيوية.,أنا حساس للمضادات الحيوية .
لم نطلب هذا .,لم نطلب هذا .
نحتاج وقت اكثر عشان نقرر.,نحتاج وقتا أكثر لكي نقرر .
انت واجد تسافر؟,هل تسافر كثيرا ؟
إنه يغادر من هنا في تمام الساعة التاسعة .,إنه يغادر من هنا في تمام الساعة التاسعة .
وين اقدر اشتري؟,أين يمكن أن أقوم بمشترياتي ؟
الساعة كم يسكر المتحف؟,متى يغلق هذا المتحف ؟
سيكون من المعطل أن تصاب بمرض ، لذا لو كنت مكانك لا يجب أن أذهب إلى هناك .,سيكون من المعطل أن تصاب بمرض ، لذا لو كنت مكانك لا يجب أن أذهب إلى هناك .
حسناً . ليس لدينا وقت . هل يمكن أن نكمل هذه المناقشة يوم الخميس في الساعة الواحدة ؟,حسناً . ليس لدينا وقت . هل يمكن أن نكمل هذه المناقشة يوم الخميس في الساعة الواحدة ؟
أريد الذهاب إلى فيلادلفيا غداً . متى أجد قطارا ؟,أريد الذهاب إلى فيلادلفيا غداً . متى أجد قطارا ؟
تشوف التمثال في ذاك المبنى؟,هل ترى التمثال في تلك البناية ؟
إنها حقيبة سامسونايت زرقاء كبيرة وعليها ملصقات كثيرة .,إنها حقيبة سامسونايت زرقاء كبيرة وعليها ملصقات كثيرة .
شكراً . سآخذ زجاجة أخري من فضلك .,شكراً . سآخذ زجاجة أخري من فضلك .
آه شكراً كنت أبحث عنها منذ قليل .,آه شكراً كنت أبحث عنها منذ قليل .
القطار من سيدني متأخر؟,هل سيتأخر القطار القادم من سيدني ؟
هناك انبعاج في الباب الأمامي الأيمن .,هناك انبعاج في الباب الأمامي الأيمن .
أرشح تحفة .,أرشح تحفة .
بس اذا الليت ما يشتغل، ما تقدر تبدله.,لكن ، إذا لم يعمل النور ، فلا يمكنك تغيره .
إنه كثير جداً .,إنه كثير جداً .
ما رأيك في مشاهدة فيلم آخر ؟,ما رأيك في مشاهدة فيلم آخر ؟
سأمكث ثلاث ليال .,سأمكث ثلاث ليال .
هلا غلفتها ؟,هلا غلفتها ؟
كيف وجدت هذا المطعم ؟,كيف وجدت هذا المطعم ؟
لو سمحت أخبرني كيف أستطيع الوصول إلى المتحف .,لو سمحت أخبرني كيف أستطيع الوصول إلى المتحف .
لو سمحت اكتب لي رسالة.,من فضلك اكتب لي خطاباً .
مقاسي ستة.,مقاسي ستة .
بغيت عطر.,أريد عطراً .
"عفواً , لكن لا أستطيع أن أذهب معك .","عفواً , لكن لا أستطيع أن أذهب معك ."
ماقدر اقرر شنو اطلب. شنو تقترح؟,لا أستطيع أن أقرر ماذا أطلب . ماذا تزكي ؟
نعم، عندنا ذلك. بنكون جاهزين له.,نعم لدينا هذا ، سوف نجهزها لك .
هلا أنزلتني عند فندق هلتون من فضلك ؟,هلا أنزلتني عند فندق هلتون من فضلك ؟
ممكن اغير المقاس؟,هل لي أن أغير المقاس ؟
هل يمكنك أن تأخذ الطريق الأسرع ؟ إنني متأخر عن موعد .,هل يمكنك أن تأخذ الطريق الأسرع ؟ إنني متأخر عن موعد .
لا، اخوي. اليوم بعد الظهر كامل محجوز. بس، بكرة اوكي.,لا يا سيدي . هذه الظهيرة محجوزة بالكامل . ومع ذلك يمكن أن تحجز غدا .
ما عندنا النمط بالضبط الان. بتأكد من مخزوننا. اصبر دقيقة، لو سمحت.,لا يوجد لدينا نفس الطراز الآن . سأفحص مخزوننا . انتظر دقيقة من فضلك .
آسف كلهم بعناهم.,أنا آسف . لقد بيعت كلها .
باخذ هذي.,ساتناول هذا .
"بغيت تذكرتين حق ""كاتس"" هالخميس.",أريد تذكرتين للقطط ليوم الخميس .
فطيرة التفاح من فضلك .,فطيرة التفاح من فضلك .
سنبقى لمدة ثلاث ليال .,سنبقى لمدة ثلاث ليال .
أريد أن أخذ دروساً في التزلج .,أريد أن أخذ دروساً في التزلج .
بتنتظرني على ما ازور الكنيسة؟,هلا انتظرتني ريثما أزور الكاتدرائية ؟
لا يوجد كشك تليفون بالقرب من هنا .,لا يوجد كشك تليفون بالقرب من هنا .
ممكن كرسي على الممر، لو سمحت؟ وبغينا كرسي لغير المدخنين.,هل يمكن أن أخذ مقعدا على هذا الممر ، من فضلك ؟ نحن نريد مقعداً لغير المدخنين .
املأ هذه الاستمارة .,املأ هذه الاستمارة .
أيش الأخبار؟,ما الذي كان يحدث منذ الفترة الأخيرة ؟
تبغي تطلب بطاطس صغير، او متوسط، او كبير؟,هل ترغب في طبق صغير أم متوسط أم كبير من الأطعمة المقلية .
ممكن تذكرتين حق الليلة، لو سمحت؟,هل يمكن أن أخذ تذكرتان لليلة ، من فضلك ؟
طبقي ، من فضلك .,طبقي ، من فضلك .
عندك عصير فواكه؟,هل لديكم أي عصير فواكه ؟
بجم الى المطار؟,كم سأدفع للوصول إلى المطار ؟
من فضلك ، أسرع .,من فضلك ، أسرع .
إنه وقت إظهار الود واقتسامه .,إنه وقت إظهار الود واقتسامه .
صادني الم برقبتي وانا نايم.,عانيت من ألم في الرقبة أثناء نومي ؟
هل يمكنني أن أستعين بمدرب تنس ؟,هل يمكنني أن أستعين بمدرب تنس ؟
بالتأكيد . املأ هذه الاستمارة ووقعها ، من فضلك .,بالتأكيد . املأ هذه الاستمارة ووقعها ، من فضلك .
ممكن تحطه في صندوق؟,هل يمكنك أن تضعها في علبة ؟
يطيرون بالونات على سمج ويعرضون دمى الساموراي في هاليوم.,أعلام على شكل أسماك مرفوعة و دمى ساموراى معروضة حولنا هذا اليوم .
الصدق افضل سياسة.,الأمانة هي السياسة المثلى .
عندك أي شيء أطول بشوي؟,هل لديك أي شيء لفترة أطول قليلاً ؟
هل يمكن تغيير البطارية ؟,هل يمكن تغيير البطارية ؟
هل لك أن تغيرهم إلى دولارات من فضلك ؟,هل لك أن تغيرهم إلى دولارات من فضلك ؟
عندك تاريخ مع الحساسية؟,هل حدثت لديكم أية حالات سابقة من الحساسية ؟
يعني كل ذي غلطي انا، صح؟ احتاج اروح الحمام. مسامحة.,إذن الخطأ خطئي أليس كذلك ؟ علىّ الذهاب إلى الحمام ، معذرة .
مصارعة السامو هي واحدة من الرياضات التقليدية . تقام المباريات ست مرات في السنة .,مصارعة السامو هي واحدة من الرياضات التقليدية . تقام المباريات ست مرات في السنة .
اوصل له رسالة؟,هل أعطيه الرسالة ؟
يصير ادفع بماستر كارد؟,هل يمكنني أن ادفع عن طريق الماستر كارد ؟
مقعدان في الجانب الأسفل الأيمن ، من فضلك .,مقعدان في الجانب الأسفل الأيمن ، من فضلك .
ألم تتلق الاستمارة بالطائرة ؟,ألم تتلق الاستمارة بالطائرة ؟
أريد جاكيت لطفل في العاشرة من العمر .,أريد جاكيت لطفل في العاشرة من العمر .
ممكن اخلي له رسالة؟,هل يمكن أن أترك رسالة له ؟
عندي طيارة ثانية على نورثويست ميتين واربعة وثلاثين. وين اسجل شناطي؟,سأركب طائرة ثانية في نورث ويست رقم اثنان ثلاثة أربعة . أين يمكنني تسجيل دخول أمتعتي ؟
غسيلي لم يرجع حتى الآن .,غسيلي لم يرجع حتى الآن .
هل يجب علىّ أن أحضر معطفا معي ؟,هل يجب علىّ أن أحضر معطفا معي ؟
هلا أرشدتني إلى مطعم مفضل بين الشبان ؟,هلا أرشدتني إلى مطعم مفضل بين الشبان ؟
طلبت اللحم، وليس السمك. هل تقدر تغير هذا؟,لقد طلبت لحما لا سمكا . هل يمكنك تغيير هذا ؟
اكي، تعرف أي محل تسجيل قريب من هنا؟,أكي ، هل تعرف محل تسجيلات قريب من هنا ؟
أنا مقبل على الإصابة بنوبة برد .,أنا مقبل على الإصابة بنوبة برد .
اظن.,أعتقد ذلك .
المياه لن تسخن بما يكفي .,المياه لن تسخن بما يكفي .
عندكم خرايط للطريق؟,هل لديك خرائط للطرق ؟
هل تمانع في أن تنتظر فقط قليل من الدقائق الأخرى ؟,هل تمانع في أن تنتظر فقط قليل من الدقائق الأخرى ؟
دا اللي كنت حقوله.,هذا بالضبط ما كنت سأقوله .
أوه ، يجب أن تخطر القنصلية على الفور .,أوه ، يجب أن تخطر القنصلية على الفور .
سأغادر باكراً غداً ، لذلك أود أن أدفع الآن .,سأغادر باكراً غداً ، لذلك أود أن أدفع الآن .
أي مكان من ثلاثين الى خمسين دولار في الليلة.,في أي مكان من ثلاثين حتى خمسين دولارا لليلة .
لو سمحت ارسل الظرف في المطار.,من فضلك أرسل هذا المظروف بريدياً إلى المطار .
