0,1
"نعم , سيكون هناك مرشد يتحدث الإنجليزية .","نعم , سيكون هناك مرشد يتحدث الإنجليزية ."
تركت محفظتي بالمحل عندكن .,لقد تركت محفظتي في محلك .
بدي بطاقات لعب، عمول معروف .,أريد شراء كوتشينة من فضلك .
شو في بالمسرح؟,ماذا يعرض في المسرح ؟
من فضلك تحقق منها بسرعة .,من فضلك تحقق منها بسرعة .
أدي بدا وقت للوصول لليابان؟,كم تستغرق كي تصل إلي اليابان ؟
إي، الممسل اللي آخد دور البطولة ممتاز.,نعم ، إن الممثل الذي يؤدي الدور الرئيس ممتاز .
هلا أرشدتني إلى مطعم مفضل بين الشبان ؟,هلا أرشدتني إلى مطعم مفضل بين الشبان ؟
لأ. مكنت مستعجل. شو كان لازم أعمل؟,كلا كنت في عجلة من أمري . ماذا أفعل ؟
بعتذر. ما عنا مخزون . جرب واحد من محطات المترو .,أنا آسف لقد نفذت الكمية كلها . جرب إحدى محطات مترو الأنفاق .
شنطتي تضررت.,لقد أتلفت حقيبتي .
هذا رائع . هل ستتحدث بالإنجليزية أم اليابانية ؟,هذا رائع . هل ستتحدث بالإنجليزية أم اليابانية ؟
"أريد عصير برتقال , من فضلك .","أريد عصير برتقال , من فضلك ."
"هل بتذكرة انتقال مخفضة إلى "" دوفر "" ؟","هل بتذكرة انتقال مخفضة إلى "" دوفر "" ؟"
بدي وجبتي أخدها معي.,أريد ما يخصني لكي أرحل .
أريد تبريد الجزء المصاب باستخدام قطع الثلج .,أريد تبريد الجزء المصاب باستخدام قطع الثلج .
أين المنطقة القديمة من المدينة ؟,أين المنطقة القديمة من المدينة ؟
أين زيت السمسم ؟,أين زيت السمسم ؟
ما بقدر إئفل الباب.,لا أستطيع إغلاق الباب .
هل لديك نفس الشيء باللون الأسود ؟,هل لديك نفس الشيء باللون الأسود ؟
نحن هلق حد سيدني، طريق تنين و تلاتين.,نحن الآن بالقرب من سيدني ، طريق اثنين وثلاثين .
هاي البيتزا زاكية. مين عملها؟,البيتزا لذيذة . من صنعها ؟
اديه بيبعد عن المحطة؟,كم تبعد هي عن المحطة ؟
هل لك أن تسمح بالتقاط صورة لك معنا ؟,هل لك أن تسمح بالتقاط صورة لك معنا ؟
عن اي منصة بيمشي الترين عيورك؟,من أي رصيف سيغادر القطار المتجهة إلى نيويورك ؟
شي كتير لطيف منك.,هذا لطف منك .
لست متأكداً أي الحافلات تذهب إلى وول سترييت .,لست متأكداً أي الحافلات تذهب إلى وول سترييت .
هل يؤدي هذا الشارع إلى سنترال بارك ؟,هل يؤدي هذا الشارع إلى سنترال بارك ؟
عندك خريطة لطريق المترو؟,هل لديك خريطة لطرق مترو الأنفاق ؟
لنرى . المباراة ستبدأ في الثانية ؟ آه ، من المفروض أن يكون باستطاعتنا القيام بها .,لنرى . المباراة ستبدأ في الثانية ؟ آه ، من المفروض أن يكون باستطاعتنا القيام بها .
كيف كان الطقس بلوس انجلوس؟,كيف كان الطقس في لوس أنجلوس ؟
عندك خرايط بسيطة للمدينة؟,هل لديك أيّ خرائط بسيطة للمدينة ؟
هل هذا مظلل عيون ؟,هل هذا مظلل عيون ؟
بيوصل عا بورتلاند الضهر.,سوف يصل إلى بورتلاند عند الظهيرة .
هل لديك استمارة التحاق أخرى ؟,هل لديك استمارة التحاق أخرى ؟
لقد حجزت رحلة طائرة الخطوط البريطانية واحد ثلاثة خمسة إلى باريس في الثالث من يوليو .,لقد حجزت رحلة طائرة الخطوط البريطانية واحد ثلاثة خمسة إلى باريس في الثالث من يوليو .
أكيد. كيف بنقدر نخدمك؟,بالتأكيد . كيف يمكننا خدمتك ؟
بدي ابعتو بالبريد البري او البحري.,أود أن أرسله عن طريق البريد .
أود تناول الكثير من الخضراوات اليوم .,أود تناول الكثير من الخضراوات اليوم .
