0,1
الوسط كبير جدا بالنسبالي. عندك ده مقاس أصغر؟,مقاس الوسط كبير جداً . هل يوجد لديكم مقاس أصغر من ذلك ؟
هل هذا مغلق ؟,هل هذا مغلق ؟
هايلاقوها بكرة.,سوف يجدونها غدا .
عايز أأجر لوح تزلج شراعي .,أود استئجار لوح شراعي .
هي الشنطة دي مناسبة لكل الظروف الجوية؟,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟
هو ححتاج ألبس بالطو وكرافتة؟,هل أحتاج إلى أن أرتدي معطف و رابطة عنق ؟
اتعودت اشرب سجاير كل يوم .,لقد اعتدت أن أدخّن كلّ يوم .
للأسف أنا سبت حاجاتي في الطيارة.,أخشى أني قد تركت أشيائي في الطائرة .
إحنا التلاتة عايزين نلعب؟,ثلاثة منا يريدون أن يلعبوا . ما تكلفة ذلك ؟
في اليابان، عملية اتخاذ القرار باين عليها أبطأ بكتير من دولتنا.,في اليابان ، صنع القرار يبدو اكثر بطأ عنه في بلدنا .
كلا . سأتصل به مرة أخرى .,كلا . سأتصل به مرة أخرى .
شنبر نضارتي مكسور .,الإطار الخاص بنظارتي قد كسر .
أنا حاخد بفتيك.,أريد بوفتيك .
فى أى مكان بيلعب موسيقى وطنية؟,هل هناك مكان يتم فيه عزف الموسيقي الريفية ؟
متهيألي الوقت بيروح مننا .,أعتقد أن وقتنا ينفد .
سر في طريق مستقيم ، وسوف تجدهم .,سر في طريق مستقيم ، وسوف تجدهم .
كم يستغرق الحصول على التبديل وكم التكلفة ؟,كم يستغرق الحصول على التبديل وكم التكلفة ؟
ممكن ترشحلي أي وكلاء سفر؟,هل لك أن تزكي لي أي من وكالات السياحة ؟
هل هناك مكان يتم فيه عزف الموسيقي الريفية ؟,هل هناك مكان يتم فيه عزف الموسيقي الريفية ؟
هل تكون مفتوحة أيام الأحد ؟,هل تكون مفتوحة أيام الأحد ؟
بأدور على جيبة .,أبحث عن تنورة .
عندك اى حاجة تانية في حدود تمانين دولار؟,هل لديكم أي شئ آخر في حدود ثمانين دولار ؟
فيه اى طيارات تانية متاحة النهاردة؟ لازم اكون في لوس انجلوس النهاردة بليل .,هل توجد هناك أية رحلات طيران أخرى متوفرة اليوم ؟ لا بد أن أكون في لوس أنجلوس مساء اليوم .
كم تبلغ تكلفة مكالماتي الهاتفية ؟,كم تبلغ تكلفة مكالماتي الهاتفية ؟
مش لاقيه .,لا أستطيع أن أجدها .
نعم ، هذا جيد .,نعم ، هذا جيد .
آجل ، أنا واثق . إنه لذيذ جداً لدرجة أنني تناولت منه أكثر من اللازم . لقد استمتعت بالعشاء كثيراً جداً .,آجل ، أنا واثق . إنه لذيذ جداً لدرجة أنني تناولت منه أكثر من اللازم . لقد استمتعت بالعشاء كثيراً جداً .
الميه عامله ايه؟,كيف حال الماء ؟
أريد هذا النوع من فضلك .,أريد هذا النوع من فضلك .
ثلاثة أيام .,ثلاثة أيام .
"إنها سيارة زرقاء صغيرة , رقم اللوحة المعدنية كاي ثلاثة واحد خمسة و رقم التسجيل هو ب ر أي أربعة خمسة ستة صفر .","إنها سيارة زرقاء صغيرة , رقم اللوحة المعدنية كاي ثلاثة واحد خمسة و رقم التسجيل هو ب ر أي أربعة خمسة ستة صفر ."
ولاحاجة ليا . أشكرك.,لا شيء لي . شكراً .
ذلك ليس ما قُلته من قبل .,ذلك ليس ما قُلته من قبل .
لم اقصد أن أؤذي مشاعرك .,لم اقصد أن أؤذي مشاعرك .
"لا , أخشى لا .","لا , أخشى لا ."
أنا عندي حجز، أكي ياما.,لدي حجز يا أكياما .
سوف نرسل أحداً من الأمن .,سوف نرسل أحداً من الأمن .
ديه البوابه الصح للي عايز يروح باريس؟,هل هذه هي بوابة الركوب إلى باريس ؟
شكراً جزيلاً لعطفك .,شكراً جزيلاً لعطفك .
فين مكان لطيف ينفع لجولة ليوم واحد؟,أين يوجد مكان لطيف لقضاء نزهة ليوم واحد ؟
نسيتها عندما كنت أتسوق من حوالي عشر دقائق .,نسيتها عندما كنت أتسوق من حوالي عشر دقائق .
تحب تشرب حاجة؟,هل تبغي شراباً ؟
هل يوجد مكتب شرطة قريب من هنا ؟,هل يوجد مكتب شرطة قريب من هنا ؟
ممكن أخليه يكلمك لما يدخل؟,هل أجعله يعاود الاتصال بك عندما يعود ؟
بأستفسر عن شقتك المعروضة للأيجار .,أستعلم عن أجرة شقتك .
ما هي مساحة اليابان ؟,ما هي مساحة اليابان ؟
يكون الجو رطب في اليابان صيفا .,يكون الجو رطب في اليابان صيفا .
هو انت بتغير عملات اجنبية؟,هل تغير عملات أجنبية ؟
لتذهب إلى جراند كانيون .,لتذهب إلى جراند كانيون .
ممكن تبعته لليابان؟,هل يمكنك أن ترسلها إلى اليابان ؟
كم تتقاضى لتطبيع صور الفيلم ؟,كم تتقاضى لتطبيع صور الفيلم ؟
مائة ين مقابل الدولار .,مائة ين مقابل الدولار .
عندك مانع لو طفيت الراديو؟,هل تمانع لو أطفأت الراديو ؟
هل هناك أية حافلات تعمل على الخط ؟,هل هناك أية حافلات تعمل على الخط ؟
ممكن تعيد أصدارهم؟,هل يمكن أن تعيد إصدارها ؟
مبروك، سمعت إنك إشتغلت في شركة إي بي سي.,مبروك ، لقد سمعت أنك حصلت على وظيفة لدي شركة إيه بي سي .
أين باقي الأمتعة ؟,أين باقي الأمتعة ؟
نأمل في زيادة مبيعات أجهزة الميكروكمبيوتر في منافذ البيع التعليمية من خلال ترسيخ استخدامها في هذا المجال المهمل .,نأمل في زيادة مبيعات أجهزة الميكروكمبيوتر في منافذ البيع التعليمية من خلال ترسيخ استخدامها في هذا المجال المهمل .
ممكن ارتب حاجتي دلوقتي؟,هل لي أن أنصب معداتي الآن ؟
فى برنامج ترفيهى؟,هل هناك عرض ترفيهي ليلي ؟
ممكن تعمل لي حجوزات لجولة ليا؟,هل يمكنك أن توفر لي حجزا للقيام بجولة ؟
السنة اللى قدام دى بتوجع.,هذه السن في المقدمة تؤلمني .
تلاتة وعشرين مارس، من فضلك.,مارس الثالث والعشرين ، من فضلك .
أنت مصاب بالأنفلونزا على ما يبدو .,أنت مصاب بالأنفلونزا على ما يبدو .
سر في الاتجاه المستقيم في هذا الشارع . تجاوز ثلاثة مربعات سكنية وستأتي للحديقة . المتحف في الحديقة .,سر في الاتجاه المستقيم في هذا الشارع . تجاوز ثلاثة مربعات سكنية وستأتي للحديقة . المتحف في الحديقة .
يبلغ إجمالي الثمن خمسة دولارات وثلاثين سنتا .,يبلغ إجمالي الثمن خمسة دولارات وثلاثين سنتا .
محل تيفاني . حاضر . عالاقل خلينا نروح نتفرج عالمعروض .,متجر (تيفاني) . حسنا ، نستطيع على الأقل أن نذهب للتفرّج على نوافذ المحلات .
